============================================================================================================================================
BENCHMARK RESULTS - DETAILED VIEW (All Measurements)
============================================================================================================================================

Total Records: 360

Column Descriptions:
  file: FASTA filename
  header: Sequence metadata (type|characteristic|length|instance)
  seq_len: Sequence length (bp)
  query_len: Query pattern length (bp)
  edits: Edit distance threshold (0-5)
  re_time: Python regex execution time (seconds)
  re_mem: Python regex memory usage (bytes)
  shiftor_time: Shift-Or (Myers) algorithm execution time (seconds)
  shiftor_mem: Shift-Or algorithm memory usage (bytes)
  levenshtein_time: Levenshtein (Ukkonen) algorithm execution time (seconds)
  levenshtein_mem: Levenshtein algorithm memory usage (bytes)

============================================================================================================================================

File                      Seq_Len  Query    Edits  Regex_Time(s)   Shiftor_Time(s)  Levenshtein_Time(s)  Regex_Mem(MB) Shiftor_Mem(MB)  Levenshtein_Mem(MB)
dna_mutated_len100_0.fast 100      20       1      0.000248800     0.003516900      0.004902800          63.68         63.68            63.68             
dna_mutated_len100_0.fast 100      20       2      0.000176600     0.001433300      0.005357000          63.68         63.68            63.68             
dna_mutated_len100_0.fast 100      20       3      0.000171200     0.001411600      0.005071900          63.68         63.68            63.68             
dna_mutated_len100_0.fast 100      20       4      0.000194600     0.001453400      0.005496000          63.68         63.68            63.68             
dna_mutated_len100_0.fast 100      20       5      0.000205100     0.001416200      0.005893000          63.68         63.68            63.68             
dna_mutated_len100_0.fast 100      20       0      0.000178200     0.001575700      0.004752100          63.68         63.68            63.68             
dna_mutated_len100_0.fast 100      20       1      0.000171700     0.001421400      0.004795300          63.68         63.68            63.68             
dna_mutated_len100_0.fast 100      20       2      0.000422500     0.001923900      0.007569100          63.69         63.69            63.69             
dna_mutated_len100_0.fast 100      20       3      0.000249300     0.001641800      0.005363800          63.69         63.69            63.69             
dna_mutated_len100_0.fast 100      20       4      0.000356400     0.001462100      0.006199700          63.69         63.69            63.69             
dna_mutated_len100_0.fast 100      20       5      0.000248500     0.001461600      0.042360300          63.69         63.69            63.69             
dna_mutated_len100_0.fast 100      50       0      0.000235400     0.001745200      0.005696300          63.69         63.69            63.69             
dna_mutated_len100_0.fast 100      50       1      0.000209400     0.001644000      0.007462500          63.69         63.69            63.69             
dna_mutated_len100_0.fast 100      50       2      0.000208200     0.001666700      0.007181000          63.69         63.69            63.69             
dna_mutated_len100_0.fast 100      50       3      0.000220800     0.001633900      0.008136000          63.69         63.69            63.69             
dna_mutated_len100_0.fast 100      50       4      0.000229400     0.001647900      0.013349100          63.70         63.70            63.70             
dna_mutated_len100_0.fast 100      50       5      0.000202000     0.002007000      0.009388100          63.70         63.70            63.70             
dna_mutated_len100_0.fast 100      50       0      0.000225700     0.001656500      0.005642600          63.70         63.70            63.70             
dna_mutated_len100_0.fast 100      50       1      0.000209600     0.001829300      0.007772700          63.70         63.70            63.70             
dna_mutated_len100_0.fast 100      50       2      0.000216200     0.003603900      0.010870500          63.70         63.70            63.70             
dna_mutated_len100_0.fast 100      50       3      0.000229600     0.001667000      0.014999100          63.70         63.70            63.70             
dna_mutated_len100_0.fast 100      50       4      0.000223400     0.003620400      0.009497500          63.70         63.70            63.70             
dna_mutated_len100_0.fast 100      50       5      0.000229000     0.001663800      0.010143700          63.70         63.70            63.70             
dna_mutated_len100_0.fast 100      50       0      0.000456500     0.002126100      0.005606200          63.70         63.70            63.70             
dna_mutated_len100_0.fast 100      50       1      0.000216400     0.001657100      0.007454900          63.70         63.70            63.70             
dna_mutated_len100_0.fast 100      50       2      0.000203600     0.001670100      0.008475200          63.70         63.70            63.70             
dna_mutated_len100_0.fast 100      50       3      0.000210600     0.001667000      0.008681000          63.70         63.70            63.70             
dna_mutated_len100_0.fast 100      50       4      0.000203200     0.001812000      0.009363200          63.70         63.70            63.70             
dna_mutated_len100_0.fast 100      50       5      0.000221900     0.001674900      0.019558000          63.70         63.71            63.71             
dna_mutated_len500_0.fast 500      20       0      0.000206200     0.008387600      0.023189600          63.71         63.71            63.71             
dna_mutated_len500_0.fast 500      20       1      0.000182800     0.008115700      0.033992700          63.71         63.71            63.71             
dna_mutated_len500_0.fast 500      20       2      0.000231400     0.007736100      0.028612400          63.71         63.71            63.71             
dna_mutated_len500_0.fast 500      20       3      0.000233600     0.009180000      0.039782600          63.71         63.71            63.71             
dna_mutated_len500_0.fast 500      20       4      0.000183200     0.007691900      0.034255900          63.71         63.71            63.71             
dna_mutated_len500_0.fast 500      20       5      0.000229600     0.008919200      0.040381900          63.71         63.71            63.71             
dna_mutated_len500_0.fast 500      20       0      0.000247400     0.008246100      0.027722500          63.71         63.71            63.71             
dna_mutated_len500_0.fast 500      20       1      0.000187200     0.008695400      0.025704400          63.71         63.71            63.71             
dna_mutated_len500_0.fast 500      20       2      0.000199400     0.009643900      0.029536900          63.71         63.71            63.71             
dna_mutated_len500_0.fast 500      20       3      0.000204000     0.007786100      0.030085500          63.71         63.71            63.71             
dna_mutated_len500_0.fast 500      20       4      0.000449700     0.014901200      0.032652000          63.71         63.71            63.71             
dna_mutated_len500_0.fast 500      20       5      0.000184300     0.007553600      0.041837100          63.71         63.71            63.71             
dna_mutated_len500_0.fast 500      20       0      0.000411200     0.011760600      0.026393200          63.71         63.71            63.71             
dna_mutated_len500_0.fast 500      20       1      0.000182200     0.007728600      0.030487400          63.72         63.72            63.72             
dna_mutated_len500_0.fast 500      20       2      0.000190200     0.007851600      0.031524900          63.72         63.72            63.72             
dna_mutated_len500_0.fast 500      20       3      0.000248600     0.007957100      0.029888800          63.72         63.72            63.72             
dna_mutated_len500_0.fast 500      20       4      0.000186400     0.007891100      0.033472200          63.72         63.72            63.72             
dna_mutated_len500_0.fast 500      20       5      0.000183500     0.012419400      0.046184300          63.72         63.73            63.73             
dna_mutated_len500_0.fast 500      50       0      0.000226000     0.008007800      0.053228500          63.73         63.73            63.73             
dna_mutated_len500_0.fast 500      50       1      0.000217400     0.008021600      0.061257400          63.73         63.73            63.73             
dna_mutated_len500_0.fast 500      50       2      0.000216500     0.009916100      0.076411800          63.73         63.73            63.73             
dna_mutated_len500_0.fast 500      50       3      0.000235200     0.008626100      0.075877200          63.73         63.73            63.73             
dna_mutated_len500_0.fast 500      50       4      0.000222000     0.009680200      0.088628600          63.73         63.73            63.73             
dna_mutated_len500_0.fast 500      50       5      0.000263400     0.007980200      0.080946800          63.77         63.77            63.77             
dna_mutated_len500_0.fast 500      50       0      0.000384800     0.008110300      0.052089700          63.77         63.77            63.77             
dna_mutated_len500_0.fast 500      50       1      0.000243700     0.009756100      0.068398400          63.77         63.77            63.77             
dna_mutated_len500_0.fast 500      50       2      0.000220500     0.007871500      0.067982600          63.77         63.77            63.77             
dna_mutated_len500_0.fast 500      50       3      0.000220100     0.011828500      0.069537200          63.77         63.77            63.77             
dna_mutated_len500_0.fast 500      50       4      0.000224700     0.007943900      0.085501100          63.77         63.77            63.77             
dna_mutated_len500_0.fast 500      50       5      0.000227100     0.007859700      0.085336800          63.77         63.77            63.77             
dna_mutated_len500_0.fast 500      50       0      0.000223300     0.008504700      0.054758100          63.77         63.77            63.77             
dna_mutated_len500_0.fast 500      50       1      0.000219600     0.007759800      0.061997700          63.77         63.77            63.77             
dna_mutated_len500_0.fast 500      50       2      0.000221000     0.007825900      0.070175100          63.77         63.77            63.77             
dna_mutated_len500_0.fast 500      50       3      0.000221400     0.008800500      0.069798500          63.77         63.77            63.77             
dna_mutated_len500_0.fast 500      50       4      0.000288000     0.008636000      0.080038900          63.77         63.77            63.77             
dna_mutated_len500_0.fast 500      50       5      0.000217800     0.008688800      0.083231500          63.77         63.78            63.78             
dna_random_len100_0.fasta 100      20       0      0.000253300     0.001535100      0.003656100          63.78         63.78            63.78             
dna_random_len100_0.fasta 100      20       1      0.000351400     0.001629300      0.004181200          63.78         63.78            63.78             
dna_random_len100_0.fasta 100      20       2      0.000171200     0.001657600      0.005177900          63.78         63.78            63.78             
dna_random_len100_0.fasta 100      20       3      0.000186600     0.001785400      0.006053300          63.78         63.78            63.78             
dna_random_len100_0.fasta 100      20       4      0.000178100     0.001411300      0.005473900          63.78         63.78            63.78             
dna_random_len100_0.fasta 100      20       5      0.000226800     0.001613300      0.005838100          63.78         63.78            63.78             
dna_random_len100_0.fasta 100      20       0      0.000254000     0.001356400      0.003551800          63.78         63.78            63.78             
dna_random_len100_0.fasta 100      20       1      0.000179500     0.001377500      0.004135000          63.79         63.79            63.79             
dna_random_len100_0.fasta 100      20       2      0.000167600     0.001396100      0.004543500          63.79         63.79            63.79             
dna_random_len100_0.fasta 100      20       3      0.000171200     0.001577200      0.005228100          63.79         63.79            63.79             
dna_random_len100_0.fasta 100      20       4      0.000199700     0.001523700      0.005402800          63.79         63.79            63.79             
dna_random_len100_0.fasta 100      20       5      0.000176600     0.001416000      0.006125400          63.79         63.79            63.79             
dna_random_len100_0.fasta 100      20       0      0.000192000     0.001376400      0.003530000          63.79         63.79            63.79             
dna_random_len100_0.fasta 100      20       1      0.000183500     0.001403900      0.004207100          63.79         63.79            63.79             
dna_random_len100_0.fasta 100      20       2      0.000171600     0.001416800      0.004576500          63.79         63.79            63.79             
dna_random_len100_0.fasta 100      20       3      0.000208400     0.001797800      0.005059400          63.79         63.79            63.79             
dna_random_len100_0.fasta 100      20       4      0.000190000     0.001589900      0.005454700          63.79         63.79            63.79             
dna_random_len100_0.fasta 100      20       5      0.000182300     0.001611600      0.007410700          63.80         63.80            63.80             
dna_random_len100_0.fasta 100      50       0      0.000266300     0.001665900      0.005606200          63.80         63.80            63.80             
dna_random_len100_0.fasta 100      50       1      0.000237900     0.001625500      0.006476500          63.80         63.80            63.80             
dna_random_len100_0.fasta 100      50       2      0.000218000     0.002410200      0.010277500          63.80         63.80            63.80             
dna_random_len100_0.fasta 100      50       3      0.000224800     0.001776100      0.013029200          63.80         63.80            63.80             
dna_random_len100_0.fasta 100      50       4      0.000275600     0.001648200      0.008554000          63.80         63.80            63.80             
dna_random_len100_0.fasta 100      50       5      0.000238300     0.001632900      0.009523600          63.80         63.80            63.80             
dna_random_len100_0.fasta 100      50       0      0.000279800     0.001649800      0.005606100          63.80         63.80            63.80             
dna_random_len100_0.fasta 100      50       1      0.000276100     0.001658000      0.006480400          63.80         63.80            63.81             
dna_random_len100_0.fasta 100      50       2      0.000274600     0.001990200      0.007255700          63.81         63.81            63.81             
dna_random_len100_0.fasta 100      50       3      0.000279700     0.004114900      0.007970100          63.81         63.81            63.81             
dna_random_len100_0.fasta 100      50       4      0.000267900     0.001689200      0.008740700          63.81         63.81            63.81             
dna_random_len100_0.fasta 100      50       5      0.000363000     0.001803700      0.009634800          63.81         63.81            63.81             
dna_random_len100_0.fasta 100      50       0      0.000272800     0.001621800      0.005585000          63.81         63.81            63.81             
dna_random_len100_0.fasta 100      50       1      0.000300200     0.001677800      0.006276200          63.81         63.81            63.81             
dna_random_len100_0.fasta 100      50       2      0.000284900     0.001651600      0.011918300          63.81         63.81            63.81             
dna_random_len100_0.fasta 100      50       3      0.000281100     0.001673100      0.008034000          63.81         63.81            63.81             
dna_random_len100_0.fasta 100      50       4      0.000372500     0.001822000      0.008604500          63.81         63.81            63.81             
dna_random_len100_0.fasta 100      50       5      0.000758100     0.001852800      0.009776300          63.82         63.82            63.82             
dna_random_len500_0.fasta 500      20       0      0.000177200     0.007753900      0.021880900          63.82         63.82            63.82             
dna_random_len500_0.fasta 500      20       1      0.000180000     0.007568200      0.024608000          63.82         63.82            63.82             
dna_random_len500_0.fasta 500      20       2      0.000186300     0.008196400      0.037077700          63.82         63.82            63.82             
dna_random_len500_0.fasta 500      20       3      0.000180600     0.009177700      0.029369600          63.82         63.82            63.82             
